"Timestamp","Concentration","Degree Program (e.g. MA, MIPP, PhD)","Expected Graduation Year","Who would you support for the Democratic nomination for president?","For what reason(s) do you believe the candidate chosen above would represent your interests better than others","If your Democratic candidate of choice is not selected, will you still vote Democrat or abstain from voting?","Who do you think is the most likely candidate to become the Democratic nominee for president in 2020?","As of right now, what do you think the chances are that Donald Trump gets reelected in November – do you think he will definitely get reelected, probably get reelected, probably lose to the Democrat, or definitely lose to the Democrat? "
"2020/02/12 3:53:19 PM EST","ERE","MA","2021","Elizabeth Warren","I view environment as the top issue, Bernie and Liz are the only ones committed to the Green New Deal. Steyer and Bloomberg both have solid environmental proposals but they each have huge flaws, Bloomberg's being racist and Steyer's being no way he's beating Trump. Universal healthcare, student loan forgiveness and other proposals are very high on my list as well. ","","Bernie Sanders","3"
"2020/02/12 3:54:38 PM EST","ere","ma","2021","Pete Buttigieg","","","Bernie Sanders","3"
"2020/02/12 3:57:31 PM EST","Conflict Management","MA","2021","Bernie Sanders","Bernie Sanders is the most geniune candidate, and the only candidate who has remained consistent in promoting and fighting for progressive policies for his over thirty years in office. For me personally, he speaks to the working class and young Americans, and he has correctly noted that the current economic and political system in the US just isn't working. As someone who attends Johns Hopkins, I am acutely aware that I am one of the more priveledged individuals in America, yet I still am able to see that the American system is unsustainable in it's current form. I believe Senator Sanders is the only one who is able to bring real structural change to the American system, and he has proven this by building a mass movement without the support of any corporate interests backing his campaign.","","Bernie Sanders","4"
"2020/02/12 3:58:11 PM EST","International Political Economy","MA","2021","Bernie Sanders","Will represent a cross-racial working class coalition. Will work against big money's influence in policy and politics. Will work towards establishing humane welfare state reforms. Will provide moral clarity and leadership. Will not start endless wars.","","Bernie Sanders","4"
"2020/02/12 4:01:45 PM EST","LASP","MA","2021","Bernie Sanders","Better insurance and education policies ","","Joe Biden","1"
"2020/02/12 4:06:09 PM EST","IDEV","MA","2021","Elizabeth Warren","Policy chops, legislative experience, sincerity/authenticity","","Bernie Sanders","2"
"2020/02/12 5:28:26 PM EST","CM","MA","2021","Pete Buttigieg","","","Bernie Sanders","1"
"2020/02/12 6:16:25 PM EST","Middle east studies","Ma","2021","Bernie Sanders","Foreign affairs ","","Bernie Sanders","3"
"2020/02/12 7:13:09 PM EST","ERE","MA","2020","Bernie Sanders","I’m a leftist who is actually Native American","","Bernie Sanders","4"
"2020/02/12 8:57:45 PM EST","Conflict Management ","MA","2021","Elizabeth Warren","She is the perfect mix of progressive and moderate, which is what I think the majority of the country wants and needs. ","","Pete Buttigieg","2"
"2020/02/17 2:20:25 PM EST","Middle East Studies","MA","2020","Elizabeth Warren","","I will still vote for the Democrat","Bernie Sanders","3"
"2020/02/17 2:22:37 PM EST","Middle East Studies","MA","2020","Elizabeth Warren","Restructuring the economic system and regulating Wall Street are high up on my list of priorities and really only Warren and Sanders are far enough left for me on that issue. I'm probably a little closer to Sanders on that, but I don't think that his plans are as realistic as Warren's. I also don't like Sanders' record on gun rights or foreign policy so overall I think Warren is the candidate who is closest to me on most issues and who has policies that I think are actually implementable. ","I will still vote for the Democrat","Bernie Sanders","2"
